Date,Type,Registration,Operator,Fatalities,Location,Cat
28-SEP-1971,Douglas DC-3A-414A,PP-CBV,28-SEP-1971,32.0,near Sena Madurei...,A1
02-OCT-1971,Douglas DC-3A-228C,N1981W,02-OCT-1971,0.0,near Sint Maarten...,A1
02-OCT-1971,Vickers 951 Vanguard,G-APEC,02-OCT-1971,63.0,near Aarsele,A1
04-OCT-1971,Sud-Aviation SE-210 Caravelle,,04-OCT-1971,0.0,Amman-Marka ...,H2
07-OCT-1971,BN-2A Islander,N857JA,07-OCT-1971,0.0,near South Caicos,A1
09-OCT-1971,Boeing 727,,09-OCT-1971,0.0,,H2
10-OCT-1971,Tupolev Tu-104B,CCCP-42490,10-OCT-1971,25.0,near Moskva-Vnuko...,C1
11-OCT-1971,Antonov An-2,CCCP-47678,11-OCT-1971,6.0,near Tyubelyaha,A1
12-OCT-1971,Convair CV-580,YV-C-AVA,12-OCT-1971,0.0,Havana-José ...,H2
12-OCT-1971,Antonov An-10A,CCCP-11137,12-OCT-1971,0.0,Kishinev Air...,A1
16-OCT-1971,NAMC YS-11,,16-OCT-1971,0.0,Athens,H2
17-OCT-1971,Douglas C-47A (DC-3),HK-595,17-OCT-1971,19.0,San Vicente ...,A1
17-OCT-1971,Antonov An-2,CCCP-70908,17-OCT-1971,0.0,near Dnepropetrovsk,A1
18-OCT-1971,Boeing 737-200,,18-OCT-1971,0.0,Vancouver In...,H2
19-OCT-1971,Douglas DC-6B,HI-146,19-OCT-1971,3.0,Mt Santa Elena,A1
19-OCT-1971,Nord 2501 Noratlas,69,19-OCT-1971,6.0,Epernay,A1
20-OCT-1971,Vickers Viscount,,20-OCT-1971,0.0,,H2
20-OCT-1971,Lockheed L-1049H Super Constellatio,N564E,20-OCT-1971,4.0,near Great Inagua,A1
21-OCT-1971,ATECO Westwind II,N51CS,21-OCT-1971,16.0,near Peoria-Great...,A1
22-OCT-1971,Douglas DC-6B,F-BNUZ,22-OCT-1971,0.0,Nice-Côte d'...,A1
24-OCT-1971,Beech 99,N986MA,24-OCT-1971,4.0,near Allentown Ai...,A1
25-OCT-1971,Boeing 747,,25-OCT-1971,0.0,Havana,H2
26-OCT-1971,Douglas DC-6B,,26-OCT-1971,0.0,,H2
??-OCT-1971,BN-2A-7 Islander,HP-550,??-OCT-1971,0.0,,A1
??-OCT-1971,Grumman G-73 Mallard,N2978,??-OCT-1971,0.0,"Ida, MI",O1
01-NOV-1971,Vickers 749 Viscount,YV-C-AMZ,01-NOV-1971,4.0,near Maracaibo-La...,A1
02-NOV-1971,Douglas CC-129 Dakota (DC-3),12930,02-NOV-1971,8.0,"Cape Perry, NT",A1
03-NOV-1971,Douglas C-47B (DC-3),HC-ANJ,03-NOV-1971,3.0,Nevado de Sa...,A1
07-NOV-1971,NAMC YS-11A-212,PP-SML,07-NOV-1971,0.0,Aragarças Ai...,A1
09-NOV-1971,Lockheed Hercules C.1 (C-130K),XV216,09-NOV-1971,52.0,near Pisa-San Giu...,A1
10-NOV-1971,Vickers 828 Viscount,PK-MVS,10-NOV-1971,69.0,near Padang,A1
10-NOV-1971,Douglas EC-47Q,43-48009,10-NOV-1971,0.0,Nakhon Patho...,A2
12-NOV-1971,Antonov An-24B,CCCP-46809,12-NOV-1971,48.0,near Vinnitsa Air...,A1
12-NOV-1971,Lockheed C-130E Hercules,69-6578,12-NOV-1971,10.0,Jacksonville...,A1
12-NOV-1971,DC-8,,12-NOV-1971,0.0,,H2
13-NOV-1971,Antonov An-24B,CCCP-46378,13-NOV-1971,6.0,near Kerch Airpor...,A1
13-NOV-1971,U-1A Otter (DHC-3),0-53313,13-NOV-1971,,within Cambodia,U1
15-NOV-1971,Antonov An-24RV,YR-AMA,15-NOV-1971,0.0,Bucharest-Ot...,A1
17-NOV-1971,Beech 99,,17-NOV-1971,0.0,Trinidad,H2
20-NOV-1971,Fairchild C-119 Flying Boxcar,3124,20-NOV-1971,,unknown,U1
