Date,Type,Registration,Operator,Fatalities,Location,Latitude,Longitude
24-AUG-2010,Dornier 228-101,9N-AHE,24-AUG-2010,14,"near Bastipur, Sh...",28.5903825,81.6416124
25-AUG-2010,Let L-410UVP-E20C,9Q-CCN,25-AUG-2010,20,near Bandundu Air...,-3.3110357,17.3819359
25-AUG-2010,Embraer EMB-145LU (ERJ-145LU),PR-PSJ,25-AUG-2010,0,Vitória da C...,-15.2475607,-40.2765381
03-SEP-2010,Canadair CL-415,I-DPCQ,03-SEP-2010,0,near Sperlonga,41.260212,13.433107
05-SEP-2010,Cessna 208B Grand Caravan,F-OIXZ,05-SEP-2010,0,Anse-Bertrand,16.4736041,-61.5060116
07-SEP-2010,Tupolev Tu-154M,RA-85684,07-SEP-2010,0,Izhma Airport,65.03158,53.97085
07-SEP-2010,Beech 300 King Air 350,FAC5747,07-SEP-2010,6,"near Uribe, Meta",3.2413296,-74.3510657
13-SEP-2010,ATR 42-320,YV1010,13-SEP-2010,17,near Puerto Ordaz...,8.27509,-62.7556955
15-SEP-2010,DHC-8-103B,LN-WIF,15-SEP-2010,0,Sandnessjøen...,66.0222279,12.6364387
22-SEP-2010,Beech B100 King Air,C-FSIK,22-SEP-2010,0,Montmagny Ai...,48.9728571,2.343561
24-SEP-2010,Airbus A319-132,EI-EDM,24-SEP-2010,0,Palermo-Punt...,53.11667,6.60278
01-OCT-2010,Cessna 550 Citation II,N262Y,01-OCT-2010,0,Manteo-Dare ...,35.9082257,-75.6757303
02-OCT-2010,Cessna 208B Grand Caravan,RA-67701,02-OCT-2010,0,"near Kirensk, Irk...",57.776356,108.116295
06-OCT-2010,Cessna 501 Citation I/SP,XA-TKY,06-OCT-2010,8,near Coatzacoalcos,18.1396787,-94.4501731
24-OCT-2010,Antonov An-2T,CX-CAP,24-OCT-2010,0,near Santa Isabel...,14.5454855,-90.7279082
25-OCT-2010,Beech 100 King Air,C-FAFD,25-OCT-2010,1,Kirby Lake A...,35.9200056,-84.1222568
